,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
237,231,Darrel Williams,KAN,24,RB,12,0,19,15,78.9%,167,11.1,1,7,52,8.8,1.3,13.9,1
238,232,Maxx Williams,ARI,25,TE,16,10,19,15,78.9%,202,13.5,1,11,28,10.6,0.9,12.6,0
239,233,Ryquell Armstead,JAX,23,RB/rb,16,1,24,14,58.3%,144,10.3,2,9,31,6.0,0.9,9.0,0
240,234,Kalen Ballage,MIA,24,RB/rb,12,6,24,14,58.3%,63,4.5,0,4,13,2.6,1.2,5.3,0
241,235,Trey Burton,CHI,28,TE/te,8,5,24,14,58.3%,84,6.0,0,5,16,3.5,1.8,10.5,0
242,236,Anthony Firkser,TEN,24,TE/te,15,1,24,14,58.3%,204,14.6,1,9,39,8.5,0.9,13.6,0
243,237,Jeff Heuerman,DEN,27,TE,14,11,20,14,70.0%,114,8.1,1,9,26,5.7,1.0,8.1,0
244,238,Marlon Mack,IND,23,RB,14,12,17,14,82.4%,82,5.9,0,2,14,4.8,1.0,5.9,0
245,239,Raheem Mostert,SFO,27,RB,16,0,22,14,63.6%,180,12.9,2,6,39,8.2,0.9,11.3,2
247,240,James O'Shaughnessy,JAX,27,TE/te,5,5,20,14,70.0%,153,10.9,2,7,35,7.7,2.8,30.6,0
248,241,Ricky Seals-Jones,CLE,24,TE/te,14,3,22,14,63.6%,229,16.4,4,10,59,10.4,1.0,16.4,1
249,242,Tavon Austin,DAL,29,WR,14,0,24,13,54.2%,177,13.6,1,8,59,7.4,0.9,12.6,1
250,243,Miles Boykin,BAL,23,WR,16,11,22,13,59.1%,198,15.2,3,10,50,9.0,0.8,12.4,0
251,244,Derek Carrier,OAK,29,TE/te,16,4,19,13,68.4%,108,8.3,1,4,25,5.7,0.8,6.8,0
252,245,Frank Gore,BUF,36,RB,16,8,16,13,81.3%,100,7.7,0,5,18,6.3,0.8,6.3,0
253,246,Matt LaCosse,NWE,27,TE,11,8,19,13,68.4%,131,10.1,1,6,24,6.9,1.2,11.9,0
254,247,Scott Miller,TAM,22,WR/wr,10,2,26,13,50.0%,200,15.4,1,5,48,7.7,1.3,20.0,0
255,248,Ty Montgomery,NYJ,26,RB/rb,16,2,17,13,76.5%,90,6.9,0,3,21,5.3,0.8,5.6,0
257,250,Geoff Swaim,JAX,26,TE/te,6,2,17,13,76.5%,65,5.0,0,1,9,3.8,2.2,10.8,0
258,251,T.J. Yeldon,BUF,26,RB,6,0,15,13,86.7%,124,9.5,0,6,23,8.3,2.2,20.7,1
259,252,Seth Devalve,JAX,26,TE/te,12,6,18,12,66.7%,140,11.7,0,7,20,7.8,1.0,11.7,0
260,253,Chase Edmonds,ARI,23,RB/rb,13,2,21,12,57.1%,105,8.8,1,5,31,5.0,0.9,8.1,0
261,254,Marquise Goodwin,SFO,29,WR/wr,9,6,21,12,57.1%,186,15.5,1,10,38,8.9,1.3,20.7,0
262,255,N'Keal Harry,NWE,22,WR/wr,7,5,24,12,50.0%,105,8.8,2,7,18,4.4,1.7,15.0,0
263,256,Dontrell Hilliard,CLE,24,RB,14,0,15,12,80.0%,92,7.7,0,4,19,6.1,0.9,6.6,2
265,258,Jake Kumerow,GNB,27,WR/wr,14,4,21,12,57.1%,219,18.3,1,8,49,10.4,0.9,15.6,0
266,259,Sony Michel,NWE,24,RB,16,14,20,12,60.0%,94,7.8,0,7,19,4.7,0.8,5.9,2
267,260,Byron Pringle,KAN,26,WR,16,0,16,12,75.0%,170,14.2,1,7,28,10.6,0.8,10.6,0
268,261,Damion Ratley,CLE,24,WR/wr,13,3,24,12,50.0%,200,16.7,1,11,46,8.3,0.9,15.4,0
269,262,Duke Williams,BUF,26,WR/wr,4,3,19,12,63.2%,166,13.8,1,8,41,8.7,3.0,41.5,0
270,263,Christian Blake,ATL,23,WR/wr,9,3,24,11,45.8%,91,8.3,0,5,13,3.8,1.2,10.1,0
271,264,DeAndre Carter,HOU,26,WR/wr,16,3,14,11,78.6%,162,14.7,0,6,46,11.6,0.7,10.1,2
272,265,Keelan Doss,OAK,23,WR/wr,8,2,14,11,78.6%,133,12.1,0,6,31,9.5,1.4,16.6,0
273,266,Wayne Gallman,NYG,25,RB/rb,10,2,15,11,73.3%,102,9.3,1,4,21,6.8,1.1,10.2,1
274,267,Travis Homer,SEA,21,RB/rb,16,1,13,11,84.6%,56,5.1,0,3,11,4.3,0.7,3.5,0
275,268,Cordarrelle Patterson,CHI,28,WR/wr,16,4,17,11,64.7%,83,7.5,0,3,33,4.9,0.7,5.2,0
